datetime,stkcd,open,high,low,close,amt,vol,change,pct_change
2024-04-23 10:13:00,000300.SH,3509.858,3510.331,3509.19,3509.19,989671485.300003,659023.0,-0.95,-0.000272
2024-04-23 10:14:00,000300.SH,3509.664,3510.77,3509.664,3510.77,888619055.199997,537912.0,1.58,0.00045
2024-04-23 10:15:00,000300.SH,3510.644,3512.321,3510.479,3512.321,1288285268.600006,807805.0,1.55,0.000442
2024-04-23 10:16:00,000300.SH,3512.245,3514.923,3512.245,3514.923,1453057226.399994,869271.0,2.6,0.000741
2024-04-23 10:17:00,000300.SH,3515.322,3515.322,3513.585,3513.585,1082674880.0,640832.0,-1.34,-0.000381
2024-04-23 10:18:00,000300.SH,3513.288,3513.623,3511.786,3512.353,927407834.4000092,564781.0,-1.23,-0.000351
2024-04-23 10:19:00,000300.SH,3512.117,3512.117,3510.216,3510.216,863287251.5999908,579621.0,-2.14,-0.000608
2024-04-23 10:20:00,000300.SH,3510.792,3511.494,3509.809,3509.906,1007478045.0,656630.0,-0.31,-8.8e-05
2024-04-23 10:21:00,000300.SH,3509.948,3511.921,3509.924,3511.356,930241101.300003,579773.0,1.45,0.000413
2024-04-23 10:22:00,000300.SH,3511.359,3511.535,3509.41,3509.41,739439168.5,472920.0,-1.95,-0.000554
2024-04-23 10:23:00,000300.SH,3509.266,3510.291,3508.986,3510.291,804520498.1000061,511883.0,0.88,0.000251
2024-04-23 10:24:00,000300.SH,3511.163,3513.811,3511.028,3513.811,1031563846.2999878,662332.0,3.52,0.001003
2024-04-23 10:25:00,000300.SH,3513.926,3514.022,3511.763,3511.763,690203035.0,401321.0,-2.05,-0.000583
2024-04-23 10:26:00,000300.SH,3511.639,3512.552,3510.815,3512.112,751330754.5,450097.0,0.35,9.9e-05
2024-04-23 10:27:00,000300.SH,3511.923,3511.971,3508.836,3508.836,897693445.800003,600642.0,-3.28,-0.000933
2024-04-23 10:28:00,000300.SH,3509.048,3509.313,3508.692,3509.088,856275972.300003,601724.0,0.25,7.2e-05
2024-04-23 10:29:00,000300.SH,3509.318,3511.065,3509.318,3510.139,960991747.5,653920.0,1.05,0.0003
2024-04-23 10:30:00,000300.SH,3510.154,3510.157,3509.069,3509.6,939212871.199997,668425.0,-0.54,-0.000154
2024-04-23 10:31:00,000300.SH,3509.664,3509.664,3508.291,3508.799,797460550.1000061,544324.0,-0.8,-0.000228
2024-04-23 10:32:00,000300.SH,3508.613,3509.193,3507.823,3507.838,865293971.8999939,596776.0,-0.96,-0.000274
2024-04-23 10:33:00,000300.SH,3507.611,3507.994,3506.68,3507.7,924701882.199997,707196.0,-0.14,-3.9e-05
2024-04-23 10:34:00,000300.SH,3507.499,3510.476,3507.499,3510.334,798235628.1000061,554893.0,2.63,0.000751
2024-04-23 10:35:00,000300.SH,3510.431,3512.086,3510.431,3511.271,708244589.1000061,488363.0,0.94,0.000267
2024-04-23 10:36:00,000300.SH,3511.408,3511.408,3510.203,3511.368,673099514.699997,436953.0,0.1,2.8e-05
2024-04-23 10:37:00,000300.SH,3511.697,3512.142,3511.015,3511.95,820332008.3999939,562487.0,0.58,0.000166
2024-04-23 10:38:00,000300.SH,3511.936,3511.936,3510.003,3510.003,605735460.1000061,399031.0,-1.95,-0.000554
2024-04-23 10:39:00,000300.SH,3509.943,3509.98,3508.579,3508.687,789590154.300003,465725.0,-1.32,-0.000375
2024-04-23 10:40:00,000300.SH,3508.571,3509.23,3507.754,3508.992,922422998.0999908,754865.0,0.31,8.7e-05
2024-04-23 10:41:00,000300.SH,3509.64,3510.627,3509.64,3509.746,902156869.6000061,815961.0,0.75,0.000215
2024-04-23 10:42:00,000300.SH,3509.836,3510.297,3509.134,3509.961,784362715.800003,558664.0,0.21,6.1e-05
2024-04-23 10:43:00,000300.SH,3509.994,3509.994,3508.956,3508.983,508978727.09999084,329452.0,-0.98,-0.000279
2024-04-23 10:44:00,000300.SH,3509.069,3509.069,3506.947,3507.294,635013183.800003,381029.0,-1.69,-0.000481
2024-04-23 10:45:00,000300.SH,3507.367,3508.028,3507.011,3507.897,799243825.6000061,493848.0,0.6,0.000172
2024-04-23 10:46:00,000300.SH,3508.108,3508.108,3507.138,3507.149,617608993.199997,383209.0,-0.75,-0.000213
2024-04-23 10:47:00,000300.SH,3507.178,3507.178,3505.425,3505.802,802365193.0,568829.0,-1.35,-0.000384
2024-04-23 10:48:00,000300.SH,3506.162,3508.928,3506.05,3508.697,857941211.699997,636996.0,2.89,0.000826
2024-04-23 10:49:00,000300.SH,3508.758,3510.513,3508.758,3509.734,663407230.0,448276.0,1.04,0.000296
2024-04-23 10:50:00,000300.SH,3509.738,3509.8,3509.11,3509.687,752217434.8999939,532535.0,-0.05,-1.3e-05
2024-04-23 10:51:00,000300.SH,3510.11,3511.981,3510.11,3511.981,797241812.4000092,686964.0,2.29,0.000654
2024-04-23 10:52:00,000300.SH,3512.144,3516.127,3512.144,3516.127,1031525241.5999908,975334.0,4.15,0.001181
2024-04-23 10:53:00,000300.SH,3516.764,3519.003,3516.764,3518.491,1101752830.5,987720.0,2.36,0.000672
2024-04-23 10:54:00,000300.SH,3518.322,3518.322,3516.859,3516.859,769958289.0,564541.0,-1.63,-0.000464
2024-04-23 10:55:00,000300.SH,3516.707,3516.922,3515.646,3516.722,635017950.4000092,470936.0,-0.14,-3.9e-05
2024-04-23 10:56:00,000300.SH,3516.494,3516.494,3514.866,3514.895,620515600.8999939,461833.0,-1.83,-0.00052
2024-04-23 10:57:00,000300.SH,3514.747,3514.747,3513.728,3514.43,584514689.699997,432874.0,-0.47,-0.000132
2024-04-23 10:58:00,000300.SH,3514.59,3514.611,3513.579,3513.579,451107100.1000061,302402.0,-0.85,-0.000242
2024-04-23 10:59:00,000300.SH,3513.317,3513.565,3513.056,3513.056,494538496.5,304442.0,-0.52,-0.000149
2024-04-23 11:00:00,000300.SH,3512.833,3514.689,3512.833,3514.689,548935621.800003,345192.0,1.63,0.000465
2024-04-23 11:01:00,000300.SH,3515.054,3515.443,3513.368,3513.482,617075266.5999908,412782.0,-1.21,-0.000343
2024-04-23 11:02:00,000300.SH,3513.708,3513.708,3510.827,3510.827,571094245.5,413034.0,-2.65,-0.000756
2024-04-23 11:03:00,000300.SH,3510.652,3510.652,3508.56,3508.56,797653483.9000092,682494.0,-2.27,-0.000646
2024-04-23 11:04:00,000300.SH,3508.631,3508.919,3508.558,3508.643,580522520.699997,463541.0,0.08,2.4e-05
2024-04-23 11:05:00,000300.SH,3508.603,3508.816,3508.037,3508.037,470198232.3999939,401978.0,-0.61,-0.000173
2024-04-23 11:06:00,000300.SH,3507.878,3508.451,3507.416,3507.468,439941227.40000916,304718.0,-0.57,-0.000162
2024-04-23 11:07:00,000300.SH,3506.361,3506.361,3504.001,3504.192,816368408.5999908,624563.0,-3.28,-0.000934
2024-04-23 11:08:00,000300.SH,3504.435,3506.63,3504.427,3506.63,600136069.0,347201.0,2.44,0.000696
2024-04-23 11:09:00,000300.SH,3506.141,3507.651,3506.141,3507.248,422869565.80000305,281299.0,0.62,0.000176
2024-04-23 11:10:00,000300.SH,3507.278,3507.707,3506.986,3507.424,367048793.80000305,237053.0,0.18,5e-05
2024-04-23 11:11:00,000300.SH,3507.274,3507.505,3506.326,3506.882,440433913.19999695,291976.0,-0.54,-0.000155
2024-04-23 11:12:00,000300.SH,3506.713,3508.19,3506.713,3507.556,440891127.19999695,266221.0,0.67,0.000192
2024-04-23 11:13:00,000300.SH,3507.658,3507.849,3506.832,3506.832,380486708.30000305,238855.0,-0.72,-0.000206
2024-04-23 11:14:00,000300.SH,3506.94,3506.983,3505.703,3506.623,509546891.0,311568.0,-0.21,-6e-05
2024-04-23 11:15:00,000300.SH,3506.97,3507.871,3506.834,3507.277,468777830.5,319601.0,0.65,0.000187
2024-04-23 11:16:00,000300.SH,3507.295,3508.622,3507.032,3508.612,469218777.80000305,319616.0,1.34,0.000381
2024-04-23 11:17:00,000300.SH,3508.407,3508.407,3507.548,3507.59,390033634.30000305,261863.0,-1.02,-0.000291
2024-04-23 11:18:00,000300.SH,3507.583,3507.816,3507.091,3507.316,401471138.59999084,269372.0,-0.27,-7.8e-05
2024-04-23 11:19:00,000300.SH,3507.344,3507.598,3506.954,3507.324,377474350.5,253728.0,0.01,2e-06
2024-04-23 11:20:00,000300.SH,3507.312,3508.242,3506.964,3507.867,432657150.90000916,314706.0,0.54,0.000155
2024-04-23 11:21:00,000300.SH,3508.027,3508.027,3506.838,3507.131,478887795.5,353771.0,-0.74,-0.00021
2024-04-23 11:22:00,000300.SH,3506.77,3508.244,3506.77,3508.025,381799382.0,277081.0,0.89,0.000255
2024-04-23 11:23:00,000300.SH,3508.015,3508.015,3507.083,3507.284,389167179.19999695,265023.0,-0.74,-0.000211
2024-04-23 11:24:00,000300.SH,3507.293,3508.271,3507.106,3507.856,513647825.1000061,387192.0,0.57,0.000163
2024-04-23 11:25:00,000300.SH,3507.989,3508.435,3507.838,3508.02,355034005.3999939,248587.0,0.16,4.7e-05
2024-04-23 11:26:00,000300.SH,3507.898,3508.295,3507.867,3508.019,385985681.69999695,271301.0,-0.0,-0.0
2024-04-23 11:27:00,000300.SH,3508.105,3509.451,3507.997,3509.242,497060957.5,315298.0,1.22,0.000349
2024-04-23 11:28:00,000300.SH,3509.302,3510.131,3509.302,3509.822,413353363.90000916,283529.0,0.58,0.000165
2024-04-23 11:29:00,000300.SH,3509.84,3511.474,3509.84,3510.958,462376617.8999939,385144.0,1.14,0.000324
2024-04-23 11:30:00,000300.SH,3511.05,3511.05,3511.05,3511.05,9363754.5,6226.0,0.09,2.6e-05
2024-04-23 13:00:00,000300.SH,3510.956,3511.248,3508.98,3511.238,1319887348.600006,968032.0,0.19,5.4e-05
2024-04-23 13:01:00,000300.SH,3511.115,3511.115,3510.29,3510.502,572553173.0,349556.0,-0.74,-0.00021
2024-04-23 13:02:00,000300.SH,3510.632,3510.632,3508.846,3509.459,525909435.5,335025.0,-1.04,-0.000297
2024-04-23 13:03:00,000300.SH,3510.515,3512.01,3509.784,3511.654,640767556.699997,400423.0,2.2,0.000625
2024-04-23 13:04:00,000300.SH,3511.7,3511.7,3509.676,3509.676,526332076.59999084,373368.0,-1.98,-0.000563
2024-04-23 13:05:00,000300.SH,3509.63,3509.951,3508.284,3509.951,656628526.5,474762.0,0.28,7.8e-05
2024-04-23 13:06:00,000300.SH,3509.562,3509.562,3508.453,3508.481,447300658.40000916,292573.0,-1.47,-0.000419
2024-04-23 13:07:00,000300.SH,3508.173,3508.18,3506.815,3506.94,443490208.30000305,298182.0,-1.54,-0.000439
2024-04-23 13:08:00,000300.SH,3506.958,3507.746,3506.072,3507.061,514407770.69999695,324011.0,0.12,3.5e-05
2024-04-23 13:09:00,000300.SH,3506.879,3507.454,3506.697,3507.014,385674907.5,233148.0,-0.05,-1.3e-05
2024-04-23 13:10:00,000300.SH,3506.763,3506.763,3505.892,3506.241,511193092.49998474,343389.0,-0.77,-0.00022
2024-04-23 13:11:00,000300.SH,3506.061,3508.313,3506.061,3507.366,487374633.3000183,296279.0,1.12,0.000321
2024-04-23 13:12:00,000300.SH,3507.166,3507.381,3506.795,3506.918,383912682.6999817,268956.0,-0.45,-0.000128
2024-04-23 13:13:00,000300.SH,3507.09,3507.478,3506.894,3507.153,392808978.7000122,245061.0,0.23,6.7e-05
2024-04-23 13:14:00,000300.SH,3506.878,3506.898,3506.032,3506.043,414104519.7000122,279329.0,-1.11,-0.000316
2024-04-23 13:15:00,000300.SH,3506.166,3506.481,3505.665,3505.916,541892675.1999817,324037.0,-0.13,-3.6e-05
2024-04-23 13:16:00,000300.SH,3505.552,3506.108,3504.683,3505.733,576846550.5,380770.0,-0.18,-5.2e-05
